magazineId;volumeNumber;year
220;10;1978
221;33;1996
222;24;1987
223;33;1996
224;50;2013
225;36;2000
226;17;1982
227;21;1984
228;29;1992
229;41;2005
230;29;1992
231;52;2015
232;34;1997
233;10;1978
234;48;2011
235;6;1976
236;35;1998
237;30;1993
238;30;1993
239;3;1974
240;20;1983
241;13;1980
242;8;1977
243;4;1975
244;25;1988
245;20;1983
246;13;1980
247;13;1980
248;36;1999
249;43;2006
250;13;1980
251;2;1973
252;4;1974
253;32;1995
254;51;2014
255;44;2007
256;13;1980
257;26;1988
258;41;2004
259;25;1988
260;43;2006
261;4;1974
262;15;1981
263;50;2013
264;37;2001
265;22;1985
266;40;2003
267;10;1978
268;48;2011
269;7;1976
270;40;2004
271;45;2008
272;49;2012
273;52;2015
274;26;1989
275;19;1983
276;35;1998
277;18;1982
278;48;2011
279;8;1977
280;2;1973
281;26;1988
282;21;1984
283;36;2000
284;20;1983
285;31;1994
286;35;1998
287;22;1985
288;18;1982
289;22;1985
290;25;1988
291;17;1982
292;12;1979
293;27;1990
294;39;2003
295;37;2001
296;24;1987
297;37;2001
298;26;1989
299;41;2005
300;30;1993
301;19;1983
302;44;2007
303;29;1992
304;44;2007
305;36;1999
306;35;1998
307;7;1977
308;13;1980
309;52;2015
310;46;2009
311;33;1996
312;41;2005
313;36;2000
314;23;1986
315;43;2006
316;37;2001
317;51;2014
318;33;1996
319;9;1978
320;39;2003
321;15;1981
322;33;1996
323;18;1982
324;27;1990
325;33;1996
326;42;2005
327;21;1984
328;38;2002
329;44;2007
330;28;1991
331;36;2000
332;46;2009
333;27;1990
334;12;1979
335;19;1983
336;15;1981
337;31;1994
338;9;1978
339;32;1995
340;38;2002
341;24;1987
342;34;1997
343;22;1985
344;29;1992
345;28;1990
346;44;2007
347;31;1994
348;1;1971
349;27;1990
350;21;1984
351;35;1998
352;18;1982
353;40;2004
354;28;1991
355;35;1998
356;4;1974
357;24;1987
358;34;1997
359;16;1981
360;36;1999
361;29;1992
362;42;2005
363;49;2012
364;41;2004
365;51;2014
366;40;2004
367;3;1973
368;20;1983
369;31;1994
370;25;1988
371;22;1985
372;22;1985
373;22;1985
374;21;1985
375;14;1980
376;17;1982
377;41;2004
378;9;1977
379;33;1996
380;23;1986
381;46;2009
382;40;2004
383;17;1982
384;24;1987
385;49;2012
386;25;1988
387;17;1982
388;19;1983
389;42;2006
390;41;2005
391;35;1998
392;18;1982
393;3;1974
394;5;1975
395;41;2005
396;22;1985
397;26;1988
398;9;1978
399;29;1992
400;11;1979
401;19;1983
402;37;2000
403;37;2001
404;9;1978
405;46;2009
406;29;1992
407;7;1977
408;23;1986
409;29;1992
410;50;2013
411;36;2000
412;11;1979
413;35;1998
414;37;2001
415;1;1972
416;23;1986
417;37;2000
418;43;2006
419;11;1979
420;50;2013
421;28;1991
422;28;1990
423;2;1973
424;8;1977
425;3;1973
426;48;2011
427;15;1981
428;32;1995
429;3;1974
430;43;2007
431;32;1995
432;38;2001
433;28;1991
434;2;1973
435;48;2011
436;30;1993
437;22;1985
438;25;1988
439;49;2012
440;45;2008
441;3;1974
442;39;2003
443;27;1990
444;25;1988
445;39;2003
446;46;2009
447;16;1981
448;29;1992
449;25;1988
450;44;2007
451;15;1981
452;49;2012
453;2;1973
454;22;1986
455;34;1997
456;18;1982
457;7;1976
458;22;1985
459;40;2003
460;46;2009
461;23;1986
462;39;2003
463;39;2003
464;22;1985
465;27;1989
466;7;1977
467;30;1993
468;33;1996
469;38;2001
470;49;2012
471;42;2006
472;32;1995
473;2;1973
474;40;2004
475;48;2011
476;40;2004
477;8;1977
478;31;1994
479;6;1976
480;18;1982
481;49;2012
482;9;1977
483;4;1974
484;21;1984
485;18;1982
486;10;1978
487;27;1990
488;22;1985
489;35;1998
490;38;2001
491;21;1984
492;20;1983
493;25;1988
494;36;2000
495;24;1987
496;6;1976
497;29;1992
498;50;2013
499;14;1980
500;18;1982
501;11;1979
502;51;2014
503;37;2000
504;14;1980
505;26;1989
506;43;2007
507;8;1977
508;5;1975
509;29;1992
510;51;2014
511;28;1991
512;51;2014
513;29;1992
514;28;1991
515;30;1993
516;4;1974
517;43;2006
518;35;1998
519;7;1977
520;41;2005
521;1;1972
522;1;1971
523;33;1996
524;2;1973
525;42;2006
526;44;2007
527;8;1977
528;20;1983
529;11;1979
530;6;1976
531;38;2002
532;43;2006
533;9;1978
534;17;1982
535;22;1985
536;21;1984
537;35;1998
538;22;1985
539;36;2000
540;11;1979
541;6;1976
542;36;2000
543;2;1973
544;35;1998
545;2;1973
546;16;1981
547;18;1982
548;1;1971
549;2;1973
550;18;1982
551;27;1989
552;28;1991
553;12;1979
554;47;2010
555;41;2005
556;46;2009
557;20;1983
558;1;1971
559;3;1974
560;1;1972
561;4;1974
562;26;1989
563;37;2000
564;15;1981
565;10;1978
566;15;1981
567;30;1993
568;34;1997
569;11;1978
570;33;1996
571;50;2013
572;22;1985
573;34;1997
574;29;1992
575;24;1987
576;17;1982
577;6;1976
578;19;1983
579;26;1989
580;10;1978
581;42;2006
582;1;1972
583;33;1996
584;34;1997
585;24;1987
586;4;1974
587;6;1976
588;43;2006
589;47;2010
590;3;1973
591;30;1993
592;23;1986
593;14;1980
594;28;1991
595;41;2005
596;49;2012
597;22;1985
598;47;2010
599;26;1989
600;24;1987
601;13;1980
602;9;1978
603;10;1978
604;10;1978
605;49;2012
606;46;2009
607;36;1999
608;28;1991
609;43;2006
610;42;2005
611;17;1982
612;11;1979
613;33;1996
614;33;1996
615;39;2003
616;45;2008
617;28;1990
618;26;1989
619;44;2007
620;8;1977
621;44;2007
622;24;1987
623;3;1973
624;25;1988
625;15;1981
626;2;1973
627;1;1971
628;45;2008
629;16;1981
630;29;1992
631;7;1976
632;45;2008
633;10;1978
634;40;2003
635;29;1992
636;52;2015
637;7;1977
638;45;2008
639;19;1983
640;26;1989
641;37;2001
642;23;1986
643;19;1983
644;27;1989
645;42;2005
646;17;1982
647;35;1998
648;20;1983
649;33;1996
650;52;2015
651;26;1989
652;3;1973
653;35;1998
654;45;2008
655;17;1982
656;27;1989
657;16;1981
658;7;1976
659;20;1983
660;37;2001
661;44;2007
662;3;1974
663;32;1995
664;1;1971
665;1;1971
666;51;2014
667;45;2008
668;38;2002
669;11;1979
670;48;2011
671;19;1983
672;19;1983
673;26;1989
674;32;1995
675;17;1982
676;39;2003
677;50;2013
678;9;1978
679;8;1977
680;50;2013
681;28;1991
682;19;1983
683;32;1995
684;28;1990
685;17;1982
686;13;1980
687;14;1980
688;15;1981
689;11;1979
690;13;1980
691;9;1978
692;34;1997
693;30;1993
694;8;1977
695;43;2007
696;28;1990
697;25;1988
698;38;2002
699;1;1972
700;34;1997
701;38;2002
702;51;2014
703;48;2011
704;36;2000
705;33;1996
706;30;1993
707;51;2014
708;40;2004
709;17;1982
710;33;1996
711;21;1984
712;29;1992
713;46;2009
714;22;1985
715;37;2001
716;16;1981
717;29;1992
718;31;1994
719;7;1976
720;31;1994
721;12;1979
722;30;1993
723;30;1993
724;15;1981
725;52;2015
726;36;1999
727;32;1995
728;29;1992
729;40;2003
730;30;1993
731;23;1986
732;52;2015
733;24;1987
734;48;2011
735;15;1981
736;38;2002
737;8;1977
738;9;1978
739;20;1983
740;38;2002
741;28;1991
742;49;2012
743;32;1995
744;35;1998
745;33;1996
746;45;2008
747;8;1977
748;24;1987
749;43;2007
750;16;1981
751;6;1976
752;19;1983
753;47;2010
754;11;1978
755;20;1983
756;27;1989
757;29;1992
758;49;2012
759;50;2013
760;42;2006
761;23;1986
762;9;1978
763;13;1980
764;8;1977
765;27;1990
766;23;1986
767;11;1979
768;52;2015
769;21;1985
770;5;1975
771;50;2013
772;41;2005
773;19;1983
774;25;1988
775;26;1988
776;31;1994
777;19;1983
778;29;1992
779;28;1990
780;39;2003
781;31;1994
782;5;1975
783;33;1996
784;28;1991
785;6;1976
786;37;2001
787;23;1986
788;44;2007
789;24;1987
790;29;1992
791;29;1992
792;20;1983
793;45;2008
794;45;2008
795;41;2004
796;32;1995
797;14;1980
798;26;1989
799;28;1991
800;7;1976
801;28;1991
802;43;2006
803;22;1985
804;17;1982
805;34;1997
806;39;2003
807;40;2003
808;51;2014
809;14;1980
810;15;1981
811;46;2009
812;34;1997
813;46;2009
814;17;1982
815;9;1978
816;23;1986
817;41;2004
818;2;1973
819;12;1979
820;23;1986
821;6;1976
822;31;1994
823;21;1984
824;38;2001
825;21;1984
826;26;1989
827;38;2002
828;33;1996
829;22;1985
830;3;1974
831;3;1973
832;37;2000
833;32;1995
834;26;1988
835;2;1973
836;35;1998
837;22;1985
838;7;1976
839;24;1987
840;28;1991
841;41;2004
842;21;1984
843;27;1990
844;44;2007
845;31;1994
846;34;1997
847;38;2002
848;16;1981
849;52;2015
850;33;1996
851;36;1999
852;12;1979
853;50;2013
854;10;1978
855;49;2012
856;31;1994
857;21;1984
858;12;1979
859;50;2013
860;20;1983
861;20;1983
862;15;1981
863;36;1999
864;31;1994
865;49;2012
866;24;1987
867;1;1971
868;21;1984
869;47;2010
870;28;1990
871;18;1982
872;1;1972
873;23;1986
874;17;1982
875;24;1987
876;4;1974
877;47;2010
878;22;1986
879;23;1986
880;36;1999
881;28;1991
882;11;1978
883;36;1999
884;15;1981
885;12;1979
886;30;1993
887;7;1976
888;38;2002
889;29;1992
890;13;1980
891;37;2000
892;24;1987
893;25;1988
894;32;1995
895;11;1979
896;18;1982
897;32;1995
898;52;2015
899;26;1989
900;33;1996
901;4;1974
902;14;1980
903;26;1989
904;33;1996
905;14;1980
906;31;1994
907;3;1974
908;39;2003
909;27;1990
910;31;1994
911;14;1980
912;51;2014
913;7;1976
914;28;1991
915;22;1985
916;47;2010
917;27;1990
918;13;1980
919;34;1997
920;30;1993
921;22;1985
922;27;1990
923;10;1978
924;10;1978
925;35;1998
926;19;1983
927;31;1994
928;35;1998
929;8;1977
930;47;2010
931;6;1976
932;20;1983
933;26;1989
934;37;2001
935;29;1992
936;11;1979
937;25;1988
938;22;1985
939;21;1984
940;43;2006
941;31;1994
942;12;1979
943;31;1994
944;21;1984
945;2;1973
946;27;1990
947;45;2008
948;35;1998
949;26;1988
950;20;1983
951;2;1973
952;29;1992
953;38;2002
954;47;2010
955;48;2011
956;15;1981
957;27;1990
958;16;1981
959;22;1985
960;27;1989
961;4;1974
962;42;2006
963;6;1976
964;39;2003
965;46;2009
966;27;1990
967;31;1994
968;35;1998
969;23;1986
970;46;2009
971;30;1993
972;11;1978
973;34;1997
974;14;1980
975;36;2000
976;18;1982
977;2;1973
978;34;1997
979;35;1998
980;4;1974
981;6;1976
982;34;1997
983;7;1977
984;31;1994
985;25;1988
986;32;1995
987;22;1985
988;26;1988
989;26;1989
990;9;1977
991;40;2004
992;14;1980
993;12;1979
994;34;1997
995;16;1981
996;34;1997
997;3;1974
998;36;1999
999;30;1993
1000;29;1992
1001;40;2004
1002;43;2007
1003;26;1989
1004;20;1983
1005;36;1999
1006;18;1982
1007;18;1982
1008;2;1973
1009;12;1979
1010;28;1991
1011;25;1988
1012;22;1985
1013;9;1978
1014;8;1977
1015;17;1982
1016;47;2010
1017;24;1987
1018;24;1987
1019;5;1975
1020;44;2007
1021;24;1987
1022;26;1988
1023;30;1993
1024;22;1986
1025;6;1976
1026;46;2009
1027;38;2002
1028;6;1976
1029;15;1981
1030;26;1989
1031;10;1978
1032;13;1980
1033;35;1998
1034;49;2012
1035;23;1986
1036;3;1974
1037;42;2005
1038;22;1985
1039;16;1981
1040;23;1986
1041;52;2015
1042;35;1998
1043;33;1996
1044;5;1975
1045;18;1982
1046;40;2004
1047;2;1973
1048;23;1986
1049;6;1976
1050;26;1989
1051;11;1979
1052;51;2014
1053;27;1990
1054;35;1998
1055;1;1972
1056;18;1982
1057;43;2007
1058;6;1976
1059;35;1998
1060;31;1994
1061;26;1989
1062;21;1984
1063;27;1990
1064;41;2005
1065;37;2001
1066;7;1976
1067;24;1987
1068;1;1972
1069;22;1985
1070;32;1995
1071;34;1997
1072;25;1988
1073;31;1994
1074;30;1993
1075;52;2015
1076;30;1993
1077;14;1980
1078;20;1983
1079;17;1982
1080;10;1978
1081;14;1980
1082;21;1984
1083;37;2000
1084;38;2002
1085;33;1996
1086;10;1978
1087;32;1995
1088;18;1982
1089;42;2006
1090;34;1997
1091;37;2000
1092;2;1973
1093;49;2012
1094;15;1981
1095;23;1986
1096;14;1980
1097;24;1987
1098;46;2009
1099;4;1974
1100;36;1999
1101;35;1998
1102;34;1997
1103;29;1992
1104;34;1997
1105;41;2004
1106;4;1974
1107;1;1972
1108;34;1997
1109;22;1986
1110;44;2007
1111;51;2014
1112;46;2009
1113;8;1977
1114;28;1990
1115;23;1986
1116;34;1997
1117;4;1974
1118;34;1997
1119;35;1998
1120;24;1987
1121;11;1979
1122;45;2008
1123;16;1981
1124;9;1978
1125;15;1981
1126;16;1981
1127;32;1995
1128;19;1983
1129;27;1989
1130;35;1998
1131;21;1985
1132;31;1994
1133;19;1983
1134;28;1991
1135;19;1983
1136;51;2014
1137;6;1976
1138;40;2003
1139;1;1972
1140;19;1983
1141;31;1994
1142;37;2001
1143;28;1991
1144;27;1990
1145;4;1974
1146;31;1994
1147;13;1980
1148;24;1987
1149;52;2015
1150;34;1997
1151;23;1986
1152;7;1977
1153;32;1995
1154;23;1986
1155;4;1974
1156;3;1973
1157;46;2009
1158;44;2007
1159;39;2003
1160;42;2006
1161;23;1986
1162;34;1997
1163;27;1990
1164;30;1993
1165;32;1995
1166;35;1998
1167;24;1987
1168;30;1993
1169;33;1996
1170;9;1977
1171;45;2008
1172;20;1983
1173;37;2000
1174;19;1983
1175;44;2007
1176;26;1989
1177;24;1987
1178;18;1982
1179;31;1994
1180;17;1982
1181;47;2010
1182;13;1980
1183;44;2007
1184;40;2004
1185;5;1975
1186;40;2004
1187;17;1982
1188;13;1980
1189;49;2012
1190;10;1978
1191;30;1993
1192;40;2004
1193;37;2001
1194;38;2002
1195;38;2002
1196;17;1982
1197;8;1977
1198;37;2001
1199;30;1993
1200;40;2004
1201;10;1978
1202;21;1984
1203;1;1972
1204;43;2006
1205;47;2010
1206;6;1976
1207;30;1993
1208;42;2005
1209;16;1981
1210;33;1996
1211;21;1984
1212;36;1999
1213;5;1975
1214;3;1974
1215;10;1978
1216;23;1986
1217;23;1986
1218;43;2006
1219;27;1990
1220;28;1991
1221;52;2015
1222;52;2015
1223;33;1996
1224;34;1997
1225;24;1987
1226;28;1991
1227;30;1993
1228;17;1982
1229;23;1986
1230;14;1980
1231;23;1986
1232;8;1977
1233;49;2012
1234;19;1983
1235;34;1997
1236;7;1977
1237;38;2002
1238;27;1990
1239;46;2009
1240;43;2007
1241;44;2007
1242;30;1993
1243;34;1997
1244;3;1974
1245;16;1981
1246;45;2008
1247;44;2007
1248;39;2003
1249;9;1978
1250;25;1988
1251;23;1986
1252;26;1989
1253;30;1993
1254;25;1988
1255;3;1974
1256;34;1997
1257;19;1983
1258;38;2002
1259;33;1996
1260;21;1984
1261;34;1997
1262;17;1982
1263;28;1991
1264;2;1973
1265;7;1976
1266;37;2001
1267;40;2003
1268;13;1980
1269;13;1980
1270;23;1986
1271;37;2001
1272;36;2000
1273;17;1982
1274;20;1983
1275;44;2007
1276;47;2010
1277;35;1998
1278;21;1985
1279;1;1971
1280;6;1976
1281;30;1993
1282;27;1990
1283;33;1996
1284;18;1982
1285;33;1996
1286;21;1985
1287;25;1988
1288;15;1981
1289;42;2005
1290;42;2005
1291;47;2010
1292;39;2003
1293;35;1998
1294;1;1972
1295;13;1980
1296;38;2002
1297;29;1992
1298;41;2005
1299;26;1989
1300;29;1992
1301;22;1985
1302;28;1991
1303;37;2001
1304;35;1998
1305;23;1986
1306;22;1985
1307;31;1994
1308;34;1997
1309;15;1981
1310;49;2012
1311;47;2010
1312;6;1976
1313;9;1977
1314;8;1977
1315;36;1999
1316;36;1999
1317;25;1988
1318;41;2005
1319;50;2013
1320;6;1976
1321;2;1973
1322;15;1981
1323;48;2011
1324;38;2002
1325;25;1988
1326;23;1986
1327;12;1979
1328;52;2015
1329;35;1998
1330;7;1976
1331;5;1975
1332;39;2003
1333;26;1988
1334;50;2013
1335;41;2004
1336;10;1978
1337;16;1981
1338;3;1974
1339;14;1980
1340;39;2003
1341;31;1994
1342;12;1979
1343;39;2003
1344;15;1981
1345;34;1997
1346;29;1992
1347;9;1978
1348;28;1991
1349;10;1978
1350;45;2008
1351;45;2008
1352;48;2011
1353;47;2010
1354;51;2014
1355;34;1997
1356;15;1981
1357;40;2004
1358;48;2011
1359;47;2010
1360;32;1995
1361;10;1978
1362;47;2010
1363;18;1982
1364;31;1994
1365;1;1972
1366;16;1981
1367;49;2012
1368;38;2002
1369;1;1972
1370;29;1992
1371;21;1984
1372;13;1980
1373;44;2007
1374;41;2004
1375;11;1978
1376;21;1985
1377;28;1991
1378;31;1994
1379;48;2011
1380;34;1997
1381;24;1987
1382;33;1996
1383;15;1981
1384;52;2015
1385;17;1982
1386;38;2001
1387;3;1974
1388;27;1990
1389;38;2001
1390;7;1977
1391;39;2003
1392;4;1974
1393;23;1986
1394;49;2012
1395;27;1989
1396;28;1991
1397;18;1982
1398;42;2006
1399;46;2009
1400;34;1997
1401;51;2014
1402;11;1979
1403;28;1991
1404;6;1976
1405;32;1995
1406;15;1981
1407;35;1998
1408;36;1999
1409;26;1988
1410;21;1984
1411;8;1977
1412;12;1979
1413;12;1979
1414;36;2000
1415;17;1982
1416;44;2007
1417;49;2012
1418;32;2011
1419;34;2013
1420;38;2015
1421;32;2011
1422;29;2008
1423;33;2012
1424;27;2006
1425;26;2005
1426;34;2013
1427;28;2007
1428;26;2005
1429;32;2011
1430;34;2013
1431;38;2015
1432;34;2013
1433;34;2013
1434;34;2013
1435;33;2012
1436;32;2011
1437;27;2006
1438;33;2012
1439;32;2011
1440;28;2007
1441;34;2013
1442;33;2012
1443;33;2012
1444;33;2012
1445;34;2013
1446;29;2008
1447;35;2014
1448;32;2011
1449;29;2008
1450;35;2014
1451;27;2006
1452;31;2010
1453;31;2010
1454;30;2009
1455;34;2013
1456;26;2005
1457;28;2007
1458;26;2005
1459;26;2005
1460;30;2009
1461;33;2012
1462;29;2008
1463;32;2011
1464;32;2011
1465;36;2015
1466;32;2011
1467;29;2008
1468;36;2015
1469;34;2013
1470;29;2008
1471;31;2010
1472;31;2010
1473;30;2009
1474;32;2011
1475;35;2014
1476;31;2010
1477;29;2008
1478;34;2013
1479;38;2015
1480;34;2013
1481;32;2011
1482;30;2009
1483;31;2010
1484;34;2013
1485;32;2011
1486;26;2005
1487;29;2008
1488;35;2014
1489;29;2008
1490;33;2012
1491;32;2011
1492;29;2008
1493;29;2008
1494;28;2007
1495;30;2009
1496;28;2007
1497;27;2006
1498;31;2010
1499;29;2008
1500;33;2012
1501;33;2012
1502;35;2014
1503;31;2010
1504;31;2010
1505;26;2005
1506;27;2006
1507;32;2011
1508;27;2006
1509;31;2010
1510;35;2014
1511;34;2013
1512;32;2011
1513;30;2009
1514;35;2014
1515;27;2006
1516;32;2011
1517;33;2012
1518;32;2011
1519;26;2005
1520;33;2012
1521;27;2006
1522;27;2006
1523;29;2008
1524;27;2006
1525;33;2012
1526;26;2005
1527;29;2008
1528;32;2011
1529;29;2008
1530;28;2007
1531;30;2009
1532;31;2010
1533;29;2008
1534;30;2009
1535;34;2013
1536;34;2013
1537;31;2010
1538;27;2006
1539;34;2013
1540;34;2013
1541;29;2008
1542;27;2006
1543;29;2008
1544;26;2005
1545;32;2011
1546;29;2008
1547;35;2014
1548;29;2008
1549;32;2011
1550;30;2009
1551;30;2009
1552;29;2008
1553;38;2015
1554;29;2008
1555;34;2013
1556;29;2008
1557;28;2007
1558;33;2012
1559;29;2008
1560;29;2008
1561;29;2008
1562;31;2010
1563;35;2014
1564;29;2008
1565;28;2007
1566;34;2013
1567;33;2012
1568;27;2006
1569;37;2015
1570;34;2013
1571;32;2011
1572;29;2008
1573;26;2005
1574;37;2015
1575;29;2008
1576;29;2008
1577;31;2010
1578;32;2011
1579;30;2009
1580;38;2015
1581;33;2012
1582;29;2008
1583;28;2007
1584;37;2015
1585;28;2007
1586;33;2012
1587;26;2005
1588;26;2005
1589;34;2013
1590;28;2007
1591;35;2014
1592;30;2009
1593;36;2015
1594;31;2010
1595;33;2012
1596;35;2014
1597;34;2013
1598;31;2010
1599;29;2008
1600;35;2014
1601;31;2010
1602;26;2005
1603;32;2011
1604;30;2009
1605;30;2009
1606;29;2008
1607;28;2007
1608;29;2008
1609;34;2013
1610;28;2007
1611;30;2009
1612;34;2013
1613;33;2012
1614;35;2014
1615;29;2008
1616;29;2008
1617;33;2012
1618;29;2008
1619;32;2011
1620;35;2014
1621;36;2015
1622;29;2008
1623;28;2007
1624;37;2015
1625;29;2008
1626;37;2015
1627;33;2012
1628;34;2013
1629;37;2015
1630;35;2014
1631;35;2014
1632;32;2011
1633;35;2014
1634;27;2006
1635;34;2013
1636;34;2013
1637;28;2007
1638;30;2009
1639;31;2010
1640;33;2012
1641;27;2006
1642;31;2010
1643;35;2014
1644;31;2010
1645;28;2007
1646;27;2006
1647;31;2010
1648;26;2005
1649;29;2008
1650;34;2013
1651;29;2008
1652;34;2013
1653;28;2007
1654;28;2007
1655;38;2015
1656;32;2011
1657;34;2013
1658;37;2015
1659;31;2010
1660;31;2010
1661;32;2011
1662;37;2015
1663;29;2008
1664;29;2008
1665;30;2009
1666;27;2006
1667;34;2013
1668;34;2013
1669;33;2012
1670;29;2008
1671;31;2010
1672;32;2011
1673;32;2011
1674;33;2012
1675;29;2008
1676;35;2014
1677;34;2013
1678;32;2011
1679;32;2011
1680;29;2008
1681;36;2015
1682;29;2008
1683;26;2005
1684;28;2007
1685;29;2008
1686;31;2010
1687;27;2006
1688;38;2015
1689;32;2011
1690;30;2009
1691;26;2005
1692;31;2010
1693;30;2009
1694;30;2009
1695;32;2011
1696;37;2015
1697;35;2014
1698;35;2014
1699;37;2015
1700;27;2006
1701;34;2013
1702;29;2008
1703;28;2007
1704;34;2013
1705;34;2013
1706;34;2013
1707;31;2010
1708;34;2013
1709;29;2008
1710;28;2007
1711;32;2011
1712;29;2008
1713;34;2013
1714;27;2006
1715;30;2009
1716;30;2009
1717;29;2008
1718;30;2009
1719;33;2012
1720;34;2013
1721;34;2013
1722;28;2007
1723;34;2013
1724;35;2014
1725;26;2005
1726;29;2008
1727;37;2015
1728;33;2012
1729;30;2009
1730;32;2011
1731;30;2009
1732;32;2011
1733;29;2008
1734;31;2010
1735;29;2008
1736;35;2014
1737;29;2008
1738;32;2011
1739;27;2006
1740;29;2008
1741;27;2006
1742;28;2007
1743;26;2005
1744;35;2014
1745;26;2005
1746;34;2013
1747;33;2012
1748;35;2014
1749;26;2005
1750;29;2008
1751;34;2013
1752;31;2010
1753;32;2011
1754;35;2014
1755;30;2009
1756;34;2013
1757;26;2005
1758;27;2006
1759;26;2005
1760;32;2011
1761;34;2013
1762;26;2005
1763;31;2010
1764;29;2008
1765;31;2010
1766;29;2008
1767;37;2015
1768;33;2012
1769;28;2007
1770;29;2008
1771;38;2015
1772;33;2012
1773;34;2013
1774;29;2008
1775;29;2008
1776;33;2012
1777;30;2009
1778;31;2010
1779;35;2014
1780;32;2011
1781;36;2015
1782;30;2009
1783;34;2013
1784;29;2008
1785;27;2006
1786;34;2013
1787;32;2011
1788;29;2008
1789;35;2014
1790;29;2008
1791;32;2011
1792;26;2005
1793;34;2013
1794;33;2012
1795;34;2013
1796;34;2013
1797;34;2013
1798;35;2014
1799;29;2008
1800;35;2014
1801;36;2015
1802;32;2011
1803;35;2014
1804;34;2013
1805;27;2006
1806;28;2007
1807;26;2005
1808;31;2010
1809;27;2006
1810;29;2008
1811;35;2014
1812;32;2011
1813;29;2008
1814;29;2008
1815;38;2015
1816;28;2007
1817;30;2009
1818;28;2007
1819;34;2013
1820;32;2011
1821;35;2014
1822;29;2008
1823;34;2013
1824;27;2006
1825;29;2008
1826;27;2006
1827;34;2013
1828;34;2013
1829;30;2009
1830;35;2014
1831;35;2014
1832;33;2012
1833;30;2009
1834;29;2008
1835;33;2012
1836;38;2015
1837;34;2013
1838;32;2011
1839;27;2006
1840;26;2005
1841;33;2012
1842;35;2014
1843;29;2008
1844;38;2015
1845;27;2006
1846;38;2015
1847;31;2010
1848;29;2008
1849;37;2015
1850;33;2012
1851;1;2010
1852;1;2010
1853;4;2014
1854;2;2011
1855;3;2012
1856;3;2012
1857;1;2010
1858;3;2012
1859;2;2011
1860;1;2010
1861;4;2014
1862;2;2011
1863;1;2010
1864;1;2010
1865;1;2010
1866;2;2011
1867;3;2012
1868;3;2012
1869;1;2010
1870;1;2010
1871;1;2010
1872;3;2012
1873;2;2011
1874;3;2012
