articleId;title;pages;volumeNumber
1;Time Lower Bounds for Parallel Sorting on a Mesh-Conected Processor Array.;643-655;26
1;Computational Algorithms for Networks of Queues with Rejection Blocking.;559-576;26
1;Compositional Refinements in Multiple Blackboard Systems.;415-458;32
1;"Special issue on ""Combining Compositionality and Concurrency"": part 1.";3-4;52
1;Automatic verification of concurrent systems using a formula-based compositional approach.;531-564;38
1;On Removing the Machine from the Language.;229-243;10
1;Complete Problems for Space Bounded Subclasses of NP.;379-395;22
1;Efficient controller synthesis for a fragment of MTL;165-192;51
1;Two Notions of Correctness and Their Relation to Testing.;31-45;18
1;Best Huffman Trees.;363-370;16
1;Behandlung verschiedener INTEGER-Darstellungen durch optimierende Compiler.;45-56;16
1;The Parsing Problem for Affix Grammars.;1-20;8
1;On Efficient Entreeings.;203-213;30
1;Persistence of Vector Replacement Systems is Decidable.;309-318;15
1;Implementing Daubechies Wavelet Transform with Weighted Finite Automata.;347-366;34
1;Functional Behavior in Data Spaces.;293-307;9
1;Inductive Completion with Retracts.;497-514;25
1;Sometime = Always + Recursion = Always on the Equivalence of the Intermittent and Invariant Assertions Methods for Proving Inevitability Properties of Programs.;1-31;24
1;Complete Parameterized Families of Job Scheduling Strategies.;61-73;8
1;Modelling higher-order dual nondeterminacy.;441-465;45
1;Dispatcher Primitives for the Construction of Operating System Kernels.;237-255;5
1;A Note on Multihead Automata and Context-Sensitive Languages;249-252;2
1;A Recursive Second Order Initial Algebra Specification of Primitive Recursion.;329-340;31
1;Context-Free Graph Languages of Bounded Degree are Generated by Apex Graph Grammars.;341-378;31
1;Worst Case Performance of Weighted Buddy Systems.;555-564;24
1;Contextual Nets.;545-596;32
1;COSY - A System Specification Language Based on Paths and Processes.;109-158;12
1;Applying relation algebra and Rel View to solve problems on orders and lattices.;211-236;45
1;Eliminating Unit Productions from LR Parsers.;31-59;9
1;Attribute (Re)evaluation in OPTRAN.;213-239;26
1;On Parallel Integer Sorting.;1-15;29
1;Domain Independence and the Relational Calculus.;513-524;31
1;Multi-Granularity Locking for Nested Transactions: A Proof Using a Possibilities Mapping.;131-152;33
1;Bounded Quantification and Relations Recognizable by Finite Automata.;67-78;10
1;A Complete Algebraic Characterization of Behavioral Subtyping.;617-663;36
1;Minimum Feedback Vertex Sets in Cocomparability Graphs and Convex Bipartite Graphs.;337-346;34
1;Behavioural Approaches to Algebraic Specifications: A Comparative Study.;651-671;31
1;Instruction sequence processing operators.;139-172;49
1;What is Failure? An Approach to Constructive Negation.;27-29;32
1;STG decomposition strategies in combination with unfolding.;433-474;46
1;Quad Trees: A Data Structure for Retrieval on Composite Keys.;1-9;4
1;On the Number of Relational Operators Necessary to Compute Certain Functions of Real Variables.;297-304;19
1;A Study of Queueing Networks with Deterministic Service and Application to Computer Networks.;183-195;7
1;Explaining the Wheel Sieve.;477-485;17
1;Another Polynomial Homomorphism.;153-169;6
1;Variance Reduction Techniques for the Simulation of Markov Process.;21-37;13
1;Decomposition of Graphs and Monotone Formula Size of Homogeneous Functions.;689-696;23
1;Deterministic pushdown-CD-systems of stateless deterministic R(1)-automata.;229-255;50
1;On the Synchronization in Parallel Communicating Grammar Systems.;351-367;30
1;Weakly Context-Sensitive Languages as Model for Programming Languages.;155-170;3
1;Rules of Inference for Procedure Calls.;145-152;8
1;The Construction of Operator Interfaces Based on Logical Input Devices.;151-166;19
1;High Level Tree Transducers and Iterated Pushdown Tree Transducers.;131-192;26
1;Gobang ist PSPACE-vollständig.;59-66;13
1;A note on autodense related languages.;209-219;47
1;Solving HPP and SAT by P Systems with Active Membranes and Separation Rules.;131-145;43
1;Optimizing the Costs of Hierarchical Quorum Consensus.;255-275;33
1;Recursive Petri nets.;463-508;44
1;Multitype Multiprogramming Models.;111-121;7
1;Automatic Correction of Syntax-Errors in Programming Languages.;271-292;4
1;Representation and uniformization of algebraic transductions.;395-417;43
1;Concurrent Bisimulations in Petri Nets.;231-264;28
1;Enhanced prefetching and caching strategies for single- and multi-disk systems.;21-42;42
1;Recording the Use of Memory in Right-Boundary Grammars and Push-Down Automata.;203-231;25
1;State space axioms for T-systems.;133-152;52
1;Extended multi bottom-up tree transducers.;561-590;46
1;The Clean Termination of Iterative Programs.;199-217;16
1;Infinite Proof Rules for Loops.;371-389;14
1;Nonfinite Axiomatizability of the Equational Theory of Shuffle.;505-539;35
1;Running a job on a collection of partly available machines, with on-line restarts.;727-742;37
1;Data Refinement by Calculation.;481-503;27
1;Program Refinement in Fair Transition Systems.;503-535;30
1;A Functional Model for Describing and Reasoning About Time Behaviour of Computing Systems.;595-627;22
1;M-Nets: An Algebra of High-Level Petri Nets, with an Application to the Semantics of Concurrent Programming Languages.;813-857;35
1;On the Look-Ahead Problem in Lexical Analysis.;459-476;32
1;The maximum gain of increasing the number of preemptions in multiprocessor scheduling.;285-295;46
1;Data Encodings and Their Costs.;273-292;9
1;Hierarchies of Complete Problems.;77-88;6
1;Ein Vollständigkeitssatz für Programme und Schaltkreise.;64-78;1
1;Type-based information flow analysis for the pi-calculus.;291-347;42
1;Sur une Conjecture de S. Greibach.;293-295;3
1;A Conservation Law for G/G/m Queueing Systems.;105-109;10
1;Applications of Efficient Mergeable Heaps for Optimization Problems on Trees.;53-58;13
1;Context-Free Graph Grammars and Concatenation of Graphs.;773-803;34
1;On a Class of Recursive Procedures and Equivalent Iterative Ones.;305-320;12
1;Algorithms for Fast Evaluation of Boolean Expressions.;107-116;4
1;A Comparison of Two Synchronizing Concepts.;190-199;1
1;How to Calculate Symmetries of Petri Nets.;545-590;36
1;Nonterminals, Homomorphisms and Codings in Different Variations of OL-Systems.  I. Deterministic Systems.;87-106;4
1;Recognizability of graph and pattern languages.;553-581;42
1;The Synthesis Problem of Petri Nets.;297-315;33
1;A Binary Operation on Trees and an Initial Algebra Characterization for Finite Tree Types.;149-168;11
1;On weighted first-order logics with discounting.;61-106;51
1;A Characterization of Context-free String Languages by Directed Node-label Controlled Graph Grammars.;63-85;16
1;Demonic, angelic and unbounded probabilistic choices in sequential programs.;329-354;37
1;An Efficiency Preorder for Processes.;737-760;29
1;On the Generalization of Higman and Kruskal's Theorems to Regular Languages and Rational Trees.;817-835;36
1;Modeling Splits in File Structures.;349-362;26
1;Languages Accepted by Systolic Y-Tree Automata: Structural Characterizations.;761-778;29
1;Synchronized regular expressions.;31-70;39
1;On regular tree languages and deterministic pushdown automata.;533-547;46
1;A Modal Logic for Message Passing Processes.;375-393;32
1;Maintaining Range Trees in Secondary Memory. Part I: Partitions.;423-452;27
1;Does indirect addressing matter? - A note.;485-491;49
1;Reasoning Algebraically about Loops.;295-334;36
1;A Model of a Time Sharing Virtual Memory System Solved Using Equivalence and Decomposition Methods.;11-47;4
1;Trace Nets and Process Automata.;647-679;32
1;A Principle of Independence for Binary Tree Searching.;293-298;4
1;Optimal Divide-and-Conquer to Compute Measure and Contour for a Set of Iso-Rectangles.;271-291;21
1;The Paging Drum Queue: A Uniform Perspective and Further Results.;485-500;21
1;The Undecidability of the Unification and Matching Problem for Canonical Theories.;157-171;24
1;The Programming Language Pascal.;35-63;1
1;Semantics, calculi, and analysis for object-oriented specifications.;255-284;46
1;Inhibitionsfelder.;253-269;1
1;Head and state hierarchies for unary multi-head finite automata.;553-569;51
1;On the Number of Active-Operations Needed to Compute the Discrete Fourier Transform.;383-408;13
1;The stuttering principle revisited.;415-434;41
1;Redundant Proofs of Non-Interference in Levin-Gries CSP Program Proofs.;145-156;24
1;Lazy Structure Sharing for Query Optimization.;255-270;32
1;Fair ambients.;535-594;43
1;Concurrent Access to Data.;325-334;8
1;Relaxed red-black trees with group updates.;565-586;38
1;Generation of Efficient ;149-162;23
1;A Markovian queue with varying number of servers and applications to the performance comparison of HSDPA user equipment.;243-269;48
1;Priority Conflict-Free Petri Nets.;673-688;35
1;Optimum Multiway Search Trees.;119-133;14
1;Characterization of all Optimal Networks for a Simultaneous Computation of AND and NOR.;171-181;21
1;Parallel Integer Sorting Using Small Operations.;79-92;32
1;Stochastic cooperative distributed grammar systems and random graphs.;119-140;39
1;Performance Evaluation of Fork and Join Synchronization Primitives.;525-553;24
1;Some properties of the disjunctive languages contained in ;1-18;48
1;Systolic Automata for VLSI on Balanced Trees.;335-344;18
1;A new natural structural congruence in the pi-calculus with replication.;385-430;40
1;Optimal Multiprogramming.;197-216;7
1;Classes of Systolic Y-Tree Automata and a Comparison with Systolic Trellis Automata.;623-643;29
1;On Real-Time Cellular Automata and Trellis Automata.;393-407;21
1;Transformational Design of Real-Time Systems Part I: From Requirements to Program Specifications.;1-65;36
1;Performance Preorder and Competitive Equivalence.;805-835;34
1;A Survey of Normal Form Covers for Context Free Grammars.;271-294;14
1;A Note on Synthesis and Classification of Sorting Algorithms.;73-80;27
1;Liveness of a mutex algorithm in a fair process algebra.;209-235;46
1;"Another Look at the ""Longest Ascending Subsequence"" Problem.";87-91;16
1;Complexity Theory and the Operational Structure of Algebraic Programming Systems.;451-476;17
1;Models for Reactivity.;609-678;30
1;Axioms for Generalized Graphs, Illustrated by a Cantor-Bernstein Proposition.;1075-1096;35
1;A Proof System for Distributed Processes.;305-332;25
1;Finite State Relational Programs.;393-409;18
1;A Gap Between the Actual Complexity of Permutations and Their Entropy Defined by Stoß.;347-362;16
1;MAT learners for tree series: an abstract data type and two realizations.;165-189;48
1;Exponentially decreasing number of operations in balanced trees.;57-78;42
1;Correctness of the Compiling Process Based on Axiomatic Semantics.;1-20;14
1;Paramodulated Connection Graphs.;67-86;13
1;The Lattice of Data Refinement.;105-135;31
1;Backtracking in Recursive Computations.;125-144;8
1;Efficient LL(1) Error Correction and Recovery Using Only Insertions.;141-154;13
1;Formal Derivation of Strongly Correct Concurrent Programs.;1-31;12
1;Efficient Worst-Case Data Structures for Range Searching.;155-168;13
1;A Formal Identification between Tuples and Lists with an Application to List-Arithmetic Categories.;61-78;32
1;Monotone Data Flow Analysis Frameworks.;305-317;7
1;Disambiguating Grammars by Exclusion of Sub-Parse Trees.;511-522;33
1;Axiomatising Finite Delay Operators.;61-88;21
1;Laws of Data Refinement.;287-308;26
1;Representing the integers with powers of 2 and 3.;293-306;43
1;Fast allocation and deallocation with an improved buddy system.;273-291;41
1;A Linear Space Algorithm for the LCS Problem.;353-362;24
1;Refinement of actions for real-time concurrent systems with causal ambiguity.;389-418;42
1;Efficient recognition algorithms for boundary and linear eNCE graph languages.;619-632;37
1;Comparing Locality and Causality Based Equivalences.;697-718;31
1;Proving Relative Lower Bounds for Incremental Algorithms.;665-683;27
1;Zur Theorie der Partiell-linearen Realisierungen endlicher Automaten;253-282;2
1;Data Refinement of Mixed Specifications.;91-129;35
1;A note on pure and p-pure languages.;579-595;39
1;A distributed resource allocation algorithm for many processes.;297-329;50
1;Complexity of Distributed Commit Protocols.;577-595;26
1;Adaptive sorting: an information theoretic perspective.;33-42;45
1;Erratum: Predicative Methodology.;285;26
1;The Correctness of the Schorr-Waite List Marking Algorithm.;211-221;11
1;Synchronizable Deterministic Pushdown Automata and the Decidability of their Equivalence.;597-605;23
1;Distance Measures for Point Sets and their Computation.;109-133;34
1;Optimum Reorganization Points for Arbitrary Database Costs.;17-30;18
1;Analyse d'un algorithme de gestion simultanée Mémoire centrale - Disque de pagination.;321-345;3
1;Opportunistic Algorithms for Eliminating Supersets.;733-754;28
1;Synchronized extension systems.;449-465;37
1;Klaus Samelson.;1-2;15
1;The Method of Attributes for Data Flow Analysis: Part II. Demand Analysis.;265-272;10
1;Reduction Rules for Time Petri Nets.;687-706;33
1;Electing a Leader in a Ring with Link Failures.;79-91;24
1;Parallel Approximation Schemes for Problems on Planar Graphs.;387-408;33
1;Compositional type checking of delta-oriented software product lines.;77-122;50
1;Single Machine Scheduling with Deadlines and Increasing Rates of Processing Times.;673-692;36
1;On Parsing Arithmetic Expressions in a Multiprocessing Environment.;287-310;17
1;A Probabilistic Analysis of the Height of Tries and of the Complexity of Triesort.;229-237;21
1;A Class of Coders Based on GSM.;779-791;29
1;Optimal recovery schemes in fault tolerant distributed computing.;341-365;41
1;An All-Round Sweep Algorithm for 2-Dimensional Nearest-Neighbor Problems.;383-394;29
1;Richer interface automata with optimistic and pessimistic compatibility.;305-336;52
1;On the System of word equations x^i_1 x^i_2 ... x^i_m = y^i_1 y^i_2 ...y^i_n (i=1, 2, ...) in a Free Monoid.;217-230;34
1;Two-Level Meta-Controlled Substitution Grammars.;323-339;10
1;The query complexity of estimating weighted averages.;417-426;48
1;Grammars on Partial Graphs.;297-316;6
1;Average-Case Complexity for the Execution of Recursive Definitions on Relational Databases.;211-243;35
1;Frameworks for Abstract Interpretation.;103-129;30
1;OBSCURE: A Specification Language for Abstract Data Types.;303-350;30
1;Performance Bounds on the Splitting Algorithm for Binary Testing.;347-355;3
1;Rational Set of Trees and the Algebraic Semantics of Logic Programming.;249-260;20
1;Rational Bijection of Rational Sets.;365-378;13
1;"Some Comments on ""Concurrent Readers and Writers"".";335-340;8
1;A Branch-and-Bound Algorithm to Obtain an Optimal Evaluation Tree for Monotonic Boolean Functions.;311-319;4
1;Integrating Code Generation and Peephole Optimization.;85-109;25
1;Is Text Compression by Prefixes and Suffixes Practical?;371-389;20
1;Methods for the Automatic Construction of Error Correcting Parsers.;115-139;13
1;Ordered Attributed Grammars.;229-256;13
1;Optimal Bounds on the Gain of Permitting Dynamic Allocation of Communication Channels in Distributed Computing.;425-446;36
1;Linearly bounded infinite graphs.;265-292;43
1;A Practical Example of the Specification of Abstract Data Types.;205-224;13
1;Sur diverses familles de langages fermées par transductions rationelle;180-188;2
1;On 3-Head Versus 2-Head Finite Automata.;193-200;4
1;Specification and Verification of Object-Oriented Programs Using Supertype Abstraction.;705-778;32
1;An efficient simulation algorithm on Kripke structures.;107-125;51
1;Improved matrix pair undecidability results.;191-205;44
1;Automaten in planaren Graphen.;287-298;13
1;Maximum Entropy Two-Station Cyclic Queues with Multiple General Servers.;241-267;26
1;Project scheduling with irregular costs: complexity, approximability, and algorithms.;83-97;41
1;Toward Formal Development of Programs from Algebraic Specifications: Implementations Revisited.;233-281;25
1;Programmed grammars and their relation to the LBA problem.;223-242;43
1;Semantic Decomposition of Computer Programs: An Aid to Program Testing.;243-269;4
1;A Proof Technique for Communicating Sequential Processes.;281-302;15
1;New proof for the undecidability of the circular PCP.;331-341;50
1;A polynomial time computable metric between point sets.;765-780;37
1;The Family of One-Counter Languages is Closed Under Quotient.;579-588;22
1;Sticky-free and overhang-free DNA languages.;119-157;40
1;A Class of Linearly Parsable Graph Grammars.;175-201;10
1;Efficient systematic clustering method for ;51-66;48
1;Validation of a Computer Performance Model of the Exponential Queuing Network Family.;137-152;7
1;Reducing non-determinism in right nulled GLR parsers.;459-489;40
1;Deciding probabilistic bisimilarity over infinite-state probabilistic systems.;131-154;45
1;Abstract reduction in directed model checking CCS processes.;313-341;49
1;Compositional construction of most general controllers.;443-482;52
1;Through the Mincing Machine with a Boolean Layer Cake.;381-407;26
1;The Implementation of Retention in a Coroutine Environment.;221-233;19
1;Asymptotic Expansions of the Mergesort Recurrences.;911-919;35
1;Logic for Improving Integrity Checking in Relational Data Bases.;227-253;18
1;Correct hardware synthesis - An algebraic approach.;363-396;48
1;EOL Forms.;75-96;8
1;On Procedures as Open Subroutines. I;311-333;2
1;The Method of Forced Enumeration for Nondeterministic Automata.;279-284;26
1;Finite Complete Rewriting Systems and the Complexity of the Word Problem.;521-540;21
1;On the Expressiveness of Subset-Sum Representations.;665-672;36
1;A Note on Multi-queue Scheduling of Two Tasks.;113-120;20
1;Petri Net Algorithms in the Theory of Matrix Grammars.;719-728;31
1;Decision Problems Concerning Thinness and Slenderness of Formal Languages.;625-636;35
1;General Correctness: A Unification of Partial and Total Correctness.;67-83;22
1;Stratified Balanced Search Trees.;345-359;18
1;Purely Top-Down Updating Algorithms for Stratified Search Trees.;85-100;22
1;Crypt-Equivalent Algebraic Specifications.;111-153;25
1;On Some Decidable Properties of Finite State Translations.;349-364;17
1;Size-Depth Tradeoff in Monotone Boolean Formulae.;227-243;12
1;On Efficient Implementation of an Approximation Algorithm for the Steiner Tree Problem.;369-380;27
1;Coincidental extension of scattered context languages.;307-314;39
1;Parallel communicating grammar systems with terminal transmission.;511-540;37
1;Time Optimal Left to Right Construction of Position Trees.;461-474;24
1;Relaxed balance for search trees with local rebalancing.;743-763;37
1;Analytic Models for the Primary Site Approach to Fault-Tolerance.;543-557;26
1;Preemptive online algorithms for scheduling with machine cost.;315-340;41
1;Logical and Schematic Characterization of Complexity Classes.;61-87;30
1;Storage Utilization in B*-Trees with a Generalized Overflow Technique.;35-55;19
1;View selection for ;289-321;44
1;A Run-Time Load Balancing Strategy for Highly Parallel Systems.;63-94;29
1;Optimal semi-online algorithms for preemptive scheduling problems with inexact partial information.;571-590;44
1;Two Graph Algorithms Derived.;489-510;36
1;A Logic-Based Approach to Program Flow Analysis.;457-504;35
1;Monoïdes syntactiques des langages algébriques.;399-413;7
1;An Algorithmic and Complexity Analysis of Interpolation Search.;39-52;13
1;On constructibility and unconstructibility of LTS operators from other LTS operators.;207-234;52
1;Strongly transitive automata and the Cerný conjecture.;591-607;46
1;Possibility and Impossibility Results in a Shared Memory Environment.;1-20;33
1;Type-based hot swapping of running modules.;181-220;41
1;Specifying Communication in Distributed Information Systems.;591-616;36
1;Nearly Optimal Hierarchies for Network and Formula Size.;217-221;23
1;Compositional Analysis of C/C++ Programs with VeriSoft.;45-71;43
1;On the tree inclusion problem.;653-670;37
1;Controlled finite automata.;327-337;51
1;Algebraic Models of Microprocessors: Architecture and Organisation.;421-456;33
1;Program Analysis and Optimization through Kernel-Control Decomposition.;195-216;9
1;A top-down proof procedure for generalized data dependencies.;1-29;39
1;Flow Languages Equal Recursively Enumerable Languages.;209-217;15
1;Simple Extensions of 1-writer Atomic Variable Constructions to Multiwriter Ones.;177-202;33
1;Lower Bounds for On-Line Two-Dimensional Packing Algorithms.;207-225;18
1;A Maximum Entropy Priority Approximation for a Stable ;247-286;27
1;A Kernel Language for Programmed Rewriting of (Hyper)graphs.;523-546;33
1;Subtyping for session types in the pi calculus.;191-225;42
1;A Fair Calculus of Communicating Systems.;417-441;21
1;Generalized normal form for rewriting P systems.;721-734;38
1;Synchronous cooperation for explicit multi-threading.;525-569;44
1;A Fixed Point Approach to Parallel Discrete Event Simulation.;611-629;28
1;Type Introduction for Equational Rewriting.;1007-1029;36
1;On decidability of LTL model checking for process rewrite systems.;1-28;46
1;Maintaining Range Trees in Secondary Memory. Part II: Lower Bounds.;453-480;27
1;The Multiple Phase Service Network with Generalized Processor Sharing.;245-284;12
1;Complexity of Analyzing the Synchronization Structure of Concurrent Programs.;57-84;19
1;Binary Search Trees in Secondary Memory.;3-17;15
1;Geometrical Tools to Map Systems of Affine Recurrence Equations on Regular Arrays.;137-160;31
1;Orthogonality of Information Structures.;243-261;9
1;Efficient Algorithms for Checking the Atomicity of a Run of Read and Write Operations.;155-170;32
1;Minimally adequate teacher synthesizes statechart diagrams.;235-259;38
1;Order and Metric in the Stream Semantics of Elemental Concurrency.;491-511;24
1;Relational Database Constraints as Counterexamples.;167-189;34
1;Thrifty Execution of Task Pipelines.;35-45;22
1;Expressibility of Output Equals Input.;645-662;29
1;Properties of Data Flow Frameworks.;121-163;28
1;Dual unbounded nondeterminacy, recursion, and fixpoints.;323-344;44
1;Information Theoretic Approximations for the ;559-571;31
1;Top-Down Syntax Analysis.;79-110;1
1;Hiding in Stream Semantics of Uniform Concurrency.;381-397;27
1;Data Management Support for Database Management.;1-28;21
1;d-Words and d-Languages.;709-727;35
1;An Alternative Implementation of an Insertion-Only Recovery Technique.;289-298;18
1;Approximation schemes for the Min-Max Starting Time Problem.;657-674;40
1;On the Expansion of Non-Linear Functions.;559-574;28
1;Structured Numbers: Properties of a Hierarchy of Operations on Binary Trees.;1-15;35
1;EOL Systems with Control Devices.;373-386;4
1;Analysis of Space Allocation in a Generally Fragmented Linear Store.;93-104;24
1;Computational Fractal Geometry with WFA.;151-166;34
1;Parsing Regular Grammars with Finite Lookahead.;125-138;16
1;Comparing Expressibility of Normed BPA and Normed BPP Processes.;233-256;36
1;A Simple, Fast, and Effective LL(1) Error Repair Algorithm.;109-120;29
1;Genericity and the pi-calculus.;83-141;42
1;Multi-tilde-bar expressions and their automata.;413-436;49
1;Erratum: The size of random bucket trees via urn models.;63;41
1;Synthesizing robust systems.;193-220;51
1;On best transitive approximations to simple graphs.;637-655;40
1;Page Size in Demand-Paging Systems.;1-23;3
1;On Hierarchies of Abstract Data Types.;1-33;20
1;Update Operations in Deductive Databases with Functional Dependencies.;573-600;31
1;Apex Graph Grammars and Attribute Grammars.;537-571;25
1;Optimum Decision Trees - An Optimal Variable Theorem and its Related Applications.;475-498;22
1;An Algorithm for Merging Heaps.;171-186;22
1;Short Proofs for Tricky Formulas.;253-275;22
1;Some Average Performance Measures for the B-Tree.;541-557;21
1;The `Hoare Logic' of Concurrent Programs.;21-37;14
1;Robust Data Types.;365-397;17
1;Random sprouts as internet models, and Pólya processes.;1-18;41
1;Concurrency of Operations on  B-Trees.;1-21;9
1;Chromatic Binary Search Trees. A Structure for Concurrent Rebalancing.;547-557;33
1;Constructing Maximal Slicings from Geometry.;267-288;23
1;A complexity tradeoff in ranking-function termination proofs.;57-72;46
1;Timed automata with urgent transitions.;317-347;40
1;Formes de langages et de grammaires.;193-213;17
1;Optimal Worst Case Trees.;475-489;24
1;An efficient algorithm for finding ideal schedules.;1-14;49
1;Specification and Verification of Database Dynamics.;625-661;25
1;Information Theoretic Approximations for ;43-61;17
1;A Lower Time Bound for the Knapsack Problem on Random Access Machines.;385-395;19
1;Splitting forward simulations to copewith liveness.;583-602;42
1;A deterministic skip list for k-dimensional range search.;221-255;41
1;A Tree-Based Mergesort.;775-793;35
1;On an Exponential Server with General Cyclic Arrivals.;319-334;18
1;Total lineare Realisierbarkeit endlicher Automaten.;385-397;3
1;A Decidability Criterion for van Wijngaarden Grammars.;353-375;5
1;Online square and cube packing.;595-606;41
1;Replaceability and Computational Equivalence for Monotone Boolean Functions.;433-449;22
1;Correctness of Semantic Integrity Checking in Database Management Systems.;25-57;26
1;Subrekursive Komplexität bei Gruppen: II. Der Einbettungssatz von Higman für entscheidbare Gruppen.;183-193;9
1;A Model and a Fast Algorithm for Multiple Errors Spelling Correction.;281-302;29
1;A Useful Lemma for Context-Free Programmed Grammars.;373-386;11
1;Three Measures for Synchronic Dependence in Petri Nets.;325-338;19
1;Data structures for order-sensitive predicates in parallel nondeterministic systems.;21-43;37
1;Labelled transition logic: an outline.;831-879;37
1;A Multiclass Networt Model of a Demand Paging Computer System.;331-343;9
1;Exploiting colored Petri nets to decide on permutation admissibility.;43-55;46
1;A Robust and Efficient Spatial Data Structure.;335-373;29
1;On the Role of Unification in Mechanical Theorem Proving.;319-323;7
1;On the Average Internal Path Length of ;111-117;23
1;Deterministic Sequential Functions.;545-554;29
1;Step semantics of boolean nets.;15-39;50
1;Querying Sequence Databases with Transducers.;511-544;36
1;Dynamic Weighted Binary Search Trees.;341-362;11
1;Bi-Catenation and Shuffle Product of Languages.;689-707;35
1;Letter from the Editor.;227-228;37
1;On Non-Determinancy in Simple Computing Devices.;336-344;1
1;Deterministic Grammars and Grammar Morphisms.;567-583;23
1;Efficiently building a parse tree from a regular expression.;121-144;37
1;Refinement verification of the lazy caching algorithm.;195-222;43
1;do Considered od: A Contribution to the Programming Calculus.;287-304;11
1;Query optimization in information integration.;257-287;50
1;The Expressive Power of the Bounded-Iteration Construct.;631-656;28
1;Efficient Memo-Table Management Strategies.;43-81;28
1;Die mittlere Additionsdauer eines Paralleladdierwerks;283-291;2
1;Van Wijngaarden Grammars and Space Complexity Classs EXSPACE.;193-199;8
1;Reducing the Number of Multiplikations in Iterative Processes.;43-45;3
1;Solving a weak NP-complete problem in polynomial time by using mutual mobile membrane systems.;409-415;48
1;The Characterization of Parallel Ultralinear Grammars by Rational Power Series.;129-139;15
1;Optimization of a Subclass of Conjunctive Queries.;1-26;32
1;Axiomatic Approach to Total Correctness of Programs.;243-263;3
1;On Abelian 2-avoidable binary patterns.;521-533;43
1;Concurrent Testing of Processes.;509-543;32
1;Timed tree automata with an application to temporal logic.;89-116;38
1;Efficient Comparison of Program Slices.;713-732;28
1;"A Reply to Comments on ""A Comparison of Two Synchronizing Concepts""";189-190;2
1;New bounds for the query complexity of an algorithm that learns DFAs with correction and equivalence queries.;43-50;48
1;On Simplest Possible Solutions for Post Correspondence Problems.;441-457;30
1;Necessary and Sufficient Conditions for the Universality of Programming Formalisms.;347-377;22
1;Cooperative Distributed Dynamic Load Balancing.;663-676;25
1;The identity problem of finitely generated bi-ideals.;105-115;49
1;The Boolean closure of linear context-free languages.;177-191;45
1;über die Vernetzungsstruktur von Maschinen.;171-186;3
1;Towards action refinement for true concurrent real time.;531-577;39
1;Tableau-Based Model Checking in the Propositional Mu-Calculus.;725-747;27
1;The Complexity of Reachability in Distributed Communicating Processes.;333-354;25
1;Bin stretching revisited.;97-117;39
1;Reasoning about faulty quantum programs.;403-432;46
1;A Characterization of Attribute Evaluation in Passes.;427-464;16
1;Analysis of a Class of Communicating Finite State Machines.;499-522;29
1;A Calculus of Refinements for Program Derivations.;593-624;25
1;Parallel LL parsing.;73;44
1;Recursive Assertions and Parallel Programs.;219-232;15
1;Finding vertex-surjective graph homomorphisms.;381-394;49
1;Fast Algorithms for the Elimination of Common Subexpressions;191-213;2
1;Erratum: Proving Properties of Pascal Programs in MIZAR 2.;699-707;22
1;Unconditional Transfer in Regulated Rewriting.;837-857;34
1;Further Analysis of Code Generation for a Single Register Machine.;135-147;18
1;The Synchronization of Independent Processes.;15-34;7
1;An Effectively Given Initial Semigroup.;203-227;22
1;Canonical prefixes of Petri net unfoldings.;95-118;40
